"minute","second","possession","duration","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","shot.statsbomb_xg","shot.saved_off_target","shot.aerial_won","shot.one_on_one","shot.deflected","shot.first_time","shot.redirect","shot.technique.id","shot.technique.name","shot.body_part.id","shot.body_part.name","shot.type.id","shot.type.name","shot.outcome.id","shot.outcome.name","match_id","location_x","location_y"
26,21,43,"1.307493",NA,772,"Spain",7,"From Goal Kick",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield","0.0063212407",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",98,"Off T",3930172,"83.3","37.9"
27,41,47,"0.364889",NA,772,"Spain",1,"Regular Play",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield","0.06796482",NA,NA,NA,NA,TRUE,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3930172,"99.7","38.8"
36,31,61,"1.023536",TRUE,772,"Spain",3,"From Free Kick",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield","0.018837484",NA,NA,NA,NA,NA,NA,91,"Half Volley",38,"Left Foot",87,"Open Play",98,"Off T",3930172,"93.4","47.8"
40,56,69,"0.960607",NA,772,"Spain",4,"From Throw In",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield","0.05605037",NA,NA,NA,NA,TRUE,NA,93,"Normal",38,"Left Foot",87,"Open Play",100,"Saved",3930172,"94.8","46.2"
45,0,78,"0.803366",NA,914,"Italy",1,"Regular Play",914,"Italy",7156,"Federico Chiesa",17,"Right Wing","0.028738793",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",98,"Off T",3930172,"103.2","57.2"
51,25,93,"0.584424",NA,772,"Spain",8,"From Keeper",772,"Spain",30486,"Pedro González López",19,"Center Attacking Midfield","0.22276898",NA,NA,NA,NA,TRUE,NA,93,"Normal",40,"Right Foot",87,"Open Play",98,"Off T",3930172,"110.9","35.1"
52,44,97,"0.905391",NA,772,"Spain",1,"Regular Play",772,"Spain",30486,"Pedro González López",19,"Center Attacking Midfield","0.031200469",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",100,"Saved",3930172,"92.3","35.6"
54,3,100,"0.480147",NA,772,"Spain",1,"Regular Play",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward","0.043265585",TRUE,NA,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",115,"Saved Off Target",3930172,"113.8","27.3"
57,16,106,"0.712596",NA,772,"Spain",4,"From Throw In",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward","0.039537966",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",100,"Saved",3930172,"93","33.9"
57,57,107,"0.880291",TRUE,772,"Spain",2,"From Corner",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back","0.07005949",NA,TRUE,NA,TRUE,NA,NA,93,"Normal",37,"Head",87,"Open Play",96,"Blocked",3930172,"113","44.1"
59,41,108,"1.319805",NA,772,"Spain",3,"From Free Kick",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing","0.022184672",NA,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",98,"Off T",3930172,"97.3","55.7"
69,58,120,"0.927797",TRUE,772,"Spain",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing","0.0101199495",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",99,"Post",3930172,"103.5","21.2"
73,27,122,"1.21013",NA,914,"Italy",3,"From Free Kick",914,"Italy",6963,"Lorenzo Pellegrini",15,"Left Center Midfield","0.041307483",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",62,"Free Kick",98,"Off T",3930172,"94.5","25.7"
80,13,131,"0.025576",NA,772,"Spain",1,"Regular Play",772,"Spain",3076,"Ayoze Pérez Gutiérrez",21,"Left Wing","0.081019565",NA,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",96,"Blocked",3930172,"109.9","29.1"
80,41,132,"0.565828",TRUE,772,"Spain",2,"From Corner",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back","0.09134299",NA,TRUE,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",98,"Off T",3930172,"113.5","46"
85,50,139,"0.730101",TRUE,914,"Italy",2,"From Corner",914,"Italy",6993,"Bryan Cristante",13,"Right Center Midfield","0.04522397",NA,NA,NA,NA,TRUE,NA,89,"Backheel",40,"Right Foot",87,"Open Play",100,"Saved",3930172,"115.1","31.7"
90,50,148,"0.380528",TRUE,772,"Spain",7,"From Goal Kick",772,"Spain",3076,"Ayoze Pérez Gutiérrez",21,"Left Wing","0.030097554",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",100,"Saved",3930172,"112","24.5"
91,41,149,"0.377473",TRUE,772,"Spain",3,"From Free Kick",772,"Spain",3076,"Ayoze Pérez Gutiérrez",21,"Left Wing","0.21283588",NA,NA,TRUE,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",100,"Saved",3930172,"106.6","29.2"
96,9,159,"1.628801",NA,914,"Italy",2,"From Corner",914,"Italy",41768,"Riccardo Calafiori",5,"Left Center Back","0.028129116",NA,NA,NA,NA,TRUE,NA,95,"Volley",38,"Left Foot",87,"Open Play",98,"Off T",3930172,"102.5","30"
