"minute","second","possession","under_pressure","out","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","clearance.left_foot","clearance.right_foot","clearance.head","clearance.aerial_won","clearance.body_part.id","clearance.body_part.name","match_id","location_x","location_y"
39,35,63,TRUE,NA,768,"England",1,"Regular Play",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield",TRUE,NA,NA,NA,38,"Left Foot",3943043,"21.9","49.1"
42,24,69,TRUE,NA,772,"Spain",1,"Regular Play",768,"England",3244,"John Stones",3,"Right Center Back",TRUE,NA,NA,NA,38,"Left Foot",3943043,"3.6","45.6"
43,0,70,TRUE,NA,772,"Spain",2,"From Corner",768,"England",3205,"Kyle Walker",2,"Right Back",NA,NA,TRUE,TRUE,37,"Head",3943043,"5.2","41.4"
45,41,75,TRUE,NA,768,"England",3,"From Free Kick",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",NA,NA,TRUE,TRUE,37,"Head",3943043,"9","42.7"
54,59,92,TRUE,NA,772,"Spain",4,"From Throw In",768,"England",3244,"John Stones",3,"Right Center Back",TRUE,NA,NA,NA,38,"Left Foot",3943043,"4.2","44.3"
59,37,98,TRUE,NA,768,"England",1,"Regular Play",772,"Spain",5721,"Daniel Carvajal Ramos",2,"Right Back",NA,TRUE,NA,NA,40,"Right Foot",3943043,"9.3","33.6"
62,43,100,TRUE,NA,768,"England",3,"From Free Kick",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",NA,NA,TRUE,NA,37,"Head",3943043,"10.1","33.3"
62,46,100,TRUE,NA,768,"England",3,"From Free Kick",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,TRUE,TRUE,37,"Head",3943043,"20.9","16"
68,10,109,TRUE,TRUE,772,"Spain",1,"Regular Play",768,"England",3244,"John Stones",3,"Right Center Back",NA,NA,TRUE,NA,37,"Head",3943043,"11.7","44.5"
68,45,110,TRUE,NA,772,"Spain",2,"From Corner",768,"England",3382,"Luke Shaw",6,"Left Back",NA,NA,TRUE,NA,37,"Head",3943043,"8.1","41.3"
