"minute","second","possession","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","dribble.nutmeg","dribble.no_touch","dribble.outcome.id","dribble.outcome.name","match_id","dribble.overrun","location_x","location_y"
50,31,91,TRUE,772,"Spain",4,"From Throw In",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,9,"Incomplete",3930172,NA,"100.3","53.1"
50,33,92,TRUE,914,"Italy",6,"From Counter",914,"Italy",10992,"Gianluca Scamacca",23,"Center Forward",NA,NA,8,"Complete",3930172,NA,"42.2","31"
53,34,100,TRUE,772,"Spain",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,9,"Incomplete",3930172,NA,"100","8.8"
53,49,100,TRUE,772,"Spain",1,"Regular Play",914,"Italy",8181,"Nicolò Barella",10,"Center Defensive Midfield",NA,NA,9,"Incomplete",3930172,NA,"14.3","23.3"
60,12,110,TRUE,772,"Spain",1,"Regular Play",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,8,"Complete",3930172,NA,"94.1","76.3"
61,13,111,TRUE,914,"Italy",3,"From Free Kick",914,"Italy",7156,"Federico Chiesa",21,"Left Wing",NA,NA,9,"Incomplete",3930172,NA,"98.9","50.5"
67,16,116,TRUE,772,"Spain",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,8,"Complete",3930172,NA,"104.3","12.6"
75,4,124,TRUE,914,"Italy",4,"From Throw In",914,"Italy",8792,"Mattia Zaccagni",21,"Left Wing",NA,NA,9,"Incomplete",3930172,NA,"59.1","2.3"
76,0,127,TRUE,772,"Spain",1,"Regular Play",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield",NA,NA,8,"Complete",3930172,NA,"98","27.5"
78,51,129,TRUE,914,"Italy",3,"From Free Kick",772,"Spain",6748,"Ferrán Torres García",17,"Right Wing",NA,NA,9,"Incomplete",3930172,NA,"85.6","8.6"
82,18,135,TRUE,772,"Spain",8,"From Keeper",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",NA,TRUE,9,"Incomplete",3930172,NA,"37","7"
84,32,138,TRUE,914,"Italy",4,"From Throw In",914,"Italy",31093,"Mateo Retegui",23,"Center Forward",NA,NA,9,"Incomplete",3930172,NA,"115.3","22.7"
90,47,148,TRUE,772,"Spain",7,"From Goal Kick",772,"Spain",3076,"Ayoze Pérez Gutiérrez",21,"Left Wing",TRUE,NA,8,"Complete",3930172,NA,"109.7","9.5"
92,28,153,TRUE,772,"Spain",1,"Regular Play",772,"Spain",3076,"Ayoze Pérez Gutiérrez",21,"Left Wing",NA,NA,8,"Complete",3930172,NA,"42.8","4.3"
